incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2023-07-08 01:25:00,2023-07-08,01:25:00,2023,Saturday,2023-07-08 01:30:00,129389964020,1293899,230472275,231890150,II,Initial,True,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,"24th St , Shotwell St",24064000,Mission,Mission,9,9,37.75244140625,-122.41516876220705
2022-05-29 11:45:00,2022-05-29,11:45:00,2022,Sunday,2022-07-27 09:17:00,117519809320,1175198,220497211,222080824,II,Initial,True,9320,Fraud,Fraud,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Open or Active,"San Jose Ave , Sergeant John V Young St",22101000,Out of SF,Outer mission,11,11,37.7249870300293,-122.4430694580078
2023-05-17 16:30:00,2023-05-17,16:30:00,2023,Wednesday,2023-05-17 16:30:00,127668307041,1276683,230319871,231372303,VS,Vehicle Supplement,True,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,"07th St , Bryant St",23875000,Southern,South of market,6,6,37.7742805480957,-122.40474700927734
2022-11-11 15:00:00,2022-11-11,15:00:00,2022,Friday,2022-11-11 17:45:00,121365007021,1213650,220777104,223152156,VI,Vehicle Initial,True,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,"Front St , Vallejo St",24805000,Central,Fimissioncial district/south beach,3,3,37.7996826171875,-122.40006256103516
2022-08-09 10:53:00,2022-08-09,10:53:00,2022,Tuesday,2022-08-09 11:16:00,117980851040,1179808,220531091,222211212,II,Initial,True,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,"Cesar Chavez St , Florida St",21139000,Mission,Mission,9,9,37.74833297729492,-122.4096450805664
2023-07-21 00:00:00,2023-07-21,00:00:00,2023,Friday,2023-07-21 01:17:00,129829306244,1298293,230507236,232020125,II,Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Cyril Magnin St , Eddy St",24893000,Tenderloin,Tenderloin,3,3,37.784454345703125,-122.4084930419922
2023-03-13 06:00:00,2023-03-13,06:00:00,2023,Monday,2023-03-13 20:28:00,125457906374,1254579,236047632,230672881,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,"Jackson St , Polk St",25304000,Northern,Russian hill,3,3,37.79414367675781,-122.42140197753906
2023-02-12 11:00:00,2023-02-12,11:00:00,2023,Sunday,2023-02-13 13:56:00,124406806244,1244068,230107212,230441655,II,Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Beach St , Taylor St",25591000,Northern,North beach,3,3,37.80727767944336,-122.41561889648438
2023-07-17 03:45:00,2023-07-17,03:45:00,2023,Monday,2023-07-17 04:04:00,129679704114,1296797,230495700,231980313,II,Initial,True,4114,Assault,Simple Assault,"Assault, Non-Aggravated, Att.",Open or Active,"Hyde St , Ofarrell St",25145000,Tenderloin,Tenderloin,5,6,37.785377502441406,-122.416259765625
2023-06-27 15:15:00,2023-06-27,15:15:00,2023,Tuesday,2023-06-27 15:15:00,129037909024,1290379,230441640,231772203,IS,Initial Supplement,True,9024,Fraud,Fraud,"Fraudulent Game or Trick, Obtaining Money or Property",Open or Active,"23rd Ave , Irving St",27418000,Taraval,Sunset/parkside,4,4,37.76337432861328,-122.48140716552734
