"Summary Statistics for Professional, Scientific and Technical Activities Establishments by Region and Industry Group: Philippines by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2020 Number of Establishments","2020 Total Employment a/","2020 Paid Employees a/","2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2020 Total Revenue","2020 Total Expense","2020 Compensation","2020 Other Expense","2020 Value Added","2020 Gross Additions To Tangible Fixed Assets","2020 Change in Inventories","2020 Sales from E-commerce","2020 Subsidies"
"..Central Visayas","..Research and experimental development on natural sciences and engineering",4,73,73,33,96668,108160,82287,25873,71590,-,-,-,-
"..Central Visayas","..Research and experimental development on social sciences and humanities",3,1841,1841,9,1940577,1977926,1429584,548342,1542611,55071,-,-,-
"..Central Visayas","..Research and experimental development in information technology",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Central Visayas","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Visayas","..Advertising",21,448,448,-,216191,251813,44715,207099,86120,-,241,-,-
"..Central Visayas","..Market research and public opinion polling",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Visayas","..Specialized design activities",5,58,58,-,24898,24832,5866,18966,6689,-,284,-,-
"..Central Visayas","..Photographic activities",52,362,362,-,95915,90381,69704,20677,80150,-,-1048,-,-
"..Central Visayas","..Other professional, scientific and technical activities, n.e.c.",3,17,17,-,4981,6869,4072,2797,2852,-,-,-,-
"..Central Visayas","..Veterinary activities",25,286,274,-,267332,112382,60649,51733,216452,-,-304,-,-
"..Eastern Visayas","Professional, Scientific and Technical Activities",38,277,277,-,69682,55388,28082,27306,47059,353,-538,-,-
"..Eastern Visayas","..Legal activities",8,16,16,-,4246,3057,1070,1986,2876,-,-200,-,-
"..Eastern Visayas","..Accounting, bookkeeping and auditing activities; tax consultancy",5,51,51,-,15453,11854,7493,4361,12307,-,-17,-,-
"..Eastern Visayas","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Management consultancy activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Architectural and engineering activities and related technical consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Eastern Visayas","..Technical testing and analysis",14,81,81,-,12467,9321,5429,3892,9843,-,-,-,-
"..Eastern Visayas","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Research and experimental development on social sciences and humanities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Eastern Visayas","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Advertising",6,76,76,-,14860,13068,8119,4949,10645,-,-322,-,-
"..Eastern Visayas","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Photographic activities",3,6,6,-,1050,995,388,607,613,-,1,-,-
"..Eastern Visayas","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Veterinary activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","Professional, Scientific and Technical Activities",40,252,252,-,128245,130854,30722,100132,48288,2399,-13436,-,-
"..Zamboanga Peninsula","..Legal activities",8,34,34,-,9663,5537,2407,3130,8123,-,88,-,-
"..Zamboanga Peninsula","..Accounting, bookkeeping and auditing activities; tax consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
