1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
41,Ilocos Sur,180.03,110.42,126.55,127.58,141.61,146.55,164.34,180.76,181.17,240.54,381.16,205.86,106.73,124.09,137.48,145.54,168.4,182.07,194.65,246.24,291.16,461.65,232.07,135.79,167.92,180.82,182.41,201.38,219.98,226.45,252.51,276.07,475.6,14.35,-3.34,-1.95,7.76,2.78,14.91,10.79,7.68,35.92,21.05,21.12,12.73,27.22,35.33,31.52,25.34,19.59,20.82,16.33,2.55,-5.18,3.02
42,La Union,218.9,127.56,141.47,162.65,170.92,180.04,202,215.83,222.38,302.41,463.82,226.72,113.58,140.38,158.99,158.08,180.17,211.65,221.82,259.56,337.94,483.79,259.35,134.09,163.36,183.53,190.21,202.63,246.27,250.84,293.69,361.7,565.78,3.57,-10.96,-0.77,-2.25,-7.51,0.07,4.78,2.77,16.72,11.75,4.3,14.39,18.06,16.37,15.44,20.32,12.46,16.36,13.08,13.15,7.03,16.95
43,Pangasinan,202.54,128.14,144.12,164.12,166.98,162.79,177.37,198.54,210.21,268.2,405.07,200.58,113.94,136.58,148.74,152.8,163.37,189.19,197.59,204.25,257.27,440.85,211.16,130.92,158.34,160.35,180.35,181.56,199.27,193.44,220.29,286.79,399.95,-0.97,-11.08,-5.23,-9.37,-8.49,0.35,6.66,-0.48,-2.83,-4.07,8.83,5.28,14.91,15.93,7.8,18.03,11.14,5.33,-2.1,7.86,11.47,-9.28
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,REGION II - CAGAYAN VALLEY,174.19,113.76,127.15,132.12,137.79,146.65,148.59,168.44,188.3,220.59,358.6,201.11,111.45,127.82,140.96,150.19,158.11,172.11,184.35,215.13,285.07,465.54,214,136.54,159.74,164.86,172.36,183.24,191.81,207.74,234.83,272.12,416.36,15.45,-2.03,0.53,6.69,9,7.81,15.83,9.44,14.25,29.23,29.82,6.41,22.51,24.97,16.96,14.76,15.89,11.44,12.69,9.15,-4.54,-10.56
46,Batanes,238.79,139.16,167.59,162.62,183.01,189.8,217.68,240.23,233.76,332.92,521.76,309.54,157.28,222.94,228.79,201.84,255.98,319.52,330.43,321.67,432.1,622.1,268.34,151.1,189.2,209.76,223.42,218.45,246.72,260.75,295.48,374.14,510.85,29.63,13.02,33.03,40.69,10.29,34.87,46.78,37.55,37.61,29.79,19.23,-13.31,-3.93,-15.13,-8.31,10.69,-14.66,-22.78,-21.09,-8.14,-13.41,-17.88
47,Cagayan,181.56,119,127.74,135.5,147.03,159.53,162.72,176.67,201.58,231.37,354.87,212.53,117.47,129.98,140.44,166.3,162.57,177.24,195.88,242.61,308.65,482.6,224.57,138.67,166.91,176.72,173.33,196.2,204.38,218.7,240.79,284.31,444.95,17.05,-1.29,1.75,3.65,13.1,1.9,8.92,10.87,20.36,33.4,35.99,5.67,18.05,28.41,25.84,4.23,20.68,15.31,11.65,-0.75,-7.89,-7.8
48,Isabela,160.67,109.82,127.14,127.96,130.64,134.92,134.45,150.03,168.63,197.52,325.66,188.71,103.75,125.71,135.22,138.28,153.42,162.19,166.35,192.03,258.11,451.06,202.22,133.16,157.17,157.85,167.73,175.25,180.18,195.4,221.61,264.37,368.83,17.46,-5.53,-1.12,5.67,5.85,13.72,20.63,10.88,13.87,30.68,38.51,7.16,28.34,25.03,16.73,21.3,14.23,11.09,17.46,15.41,2.42,-18.23
49,Nueva Vizcaya,194.7,117.17,130.74,136.64,151.44,166.9,166.97,182.68,220.56,272.37,401.55,212.19,115.62,135.26,150.88,162.16,170.84,185.76,208.21,233.14,273.3,485.85,230.68,148.25,157.71,162.22,189.14,191.7,210.12,228.72,256.01,269.58,492.83,8.98,-1.32,3.46,10.42,7.08,2.36,11.25,13.97,5.7,0.34,20.99,8.71,28.23,16.59,7.51,16.63,12.21,13.12,9.85,9.81,-1.36,1.44
50,Quirino,182.6,110.88,121,128.05,136.87,151.12,148.85,163.62,183.07,217.77,464.26,194.27,111.86,124.22,128.92,150.16,164.76,157.71,175.72,213.55,249.04,465.37,196.93,123.83,133.89,139.35,142.07,172.98,165.9,177.12,215.48,262.83,434.8,6.39,0.88,2.66,0.68,9.71,9.03,5.95,7.39,16.65,14.36,0.24,1.37,10.7,7.79,8.09,-5.39,4.99,5.2,0.8,0.91,5.54,-6.57
