1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
34,Kalinga,363.39,137.81,171.46,194.33,220.59,234.71,257.17,315.12,393.48,511.23,1197.75,409.66,161.54,195.49,233.69,245.09,259.93,289.47,377.31,448.79,573.31,1309.03,391.39,216.06,243.97,268.44,292.2,300.76,335.45,388.51,406.48,533.41,925.77,12.73,17.22,14.01,20.26,11.1,10.74,12.56,19.74,14.06,12.14,9.29,-4.46,33.75,24.8,14.87,19.22,15.71,15.88,2.97,-9.43,-6.96,-29.28
35,Mountain Province,254.56,116.16,132.25,147.68,158.79,172.61,183.25,201.73,282.99,367.13,783.91,274.43,133.08,164.24,176.71,191.52,201.07,219.07,247.78,286.14,355.71,766.74,312.73,183.62,199.61,219.17,225.96,240.57,243.26,304.38,338.53,430.37,739.74,7.81,14.57,24.19,19.66,20.62,16.49,19.55,22.83,1.11,-3.11,-2.19,13.96,37.98,21.54,24.03,17.99,19.65,11.04,22.84,18.31,20.99,-3.52
36,Apayao,250.23,90.7,124.04,140.24,157.79,171.06,190.07,213.4,261.93,358.8,794.08,307.15,144.65,179.9,193.91,216.93,227.6,247.81,259.16,305.86,428.85,864.43,374.14,172.98,196.34,212.61,233.91,257.58,259.02,351.24,391.36,494.63,1162.24,22.75,59.48,45.04,38.27,37.48,33.05,30.38,21.44,16.77,19.52,8.86,21.81,19.59,9.14,9.64,7.82,13.17,4.52,35.53,27.95,15.34,34.45
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,REGION I - ILOCOS REGION,286.98,136.68,171.24,185.85,209.81,205.77,246.83,267,309.56,411.67,725.39,304.84,128.17,173.66,187.94,208.87,227.94,247.11,272.91,332.31,446.23,822.95,339.69,159.3,194.88,226.31,242.57,275.07,301.9,326.41,381.61,451.68,836.82,6.22,-6.23,1.41,1.12,-0.45,10.78,0.11,2.21,7.35,8.39,13.45,11.43,24.29,12.22,20.42,16.13,20.68,22.17,19.6,14.84,1.22,1.69
39,Ilocos Norte,330.63,159.3,189.87,218.56,241.3,256.58,264.3,319.94,371.86,448.96,834.51,364.8,200.06,255.25,262.14,260.92,286.23,324.15,337.15,370.59,458.79,890.26,447.86,304.32,348.45,359.41,388.56,400.86,411.23,456.62,441.13,483.98,881.75,10.33,25.59,34.43,19.94,8.13,11.55,22.65,5.38,-0.34,2.19,6.68,22.77,52.12,36.51,37.11,48.92,40.05,26.86,35.44,19.03,5.49,-0.96
40,Ilocos Sur,289.92,124.03,155.58,170.06,198.9,214.16,242.69,279.47,317.67,422.15,775.35,317.51,125.81,162.14,182.03,196.32,228.43,255.69,287.26,373.19,485.67,877.49,355.63,169.86,215.81,244.55,250.3,278.13,311.49,352.6,382.05,475.93,871.85,9.52,1.43,4.21,7.04,-1.3,6.66,5.35,2.79,17.48,15.05,13.17,12,35.02,33.1,34.34,27.49,21.75,21.82,22.75,2.37,-2.01,-0.64
41,La Union,334.7,144.75,172.55,205.02,226.4,246.1,279.33,313.24,340.84,508.64,910.51,326.65,134.14,172.74,197.88,203.38,227.79,272.25,296.27,376.63,522.22,860.85,393.32,162.58,207.22,238.58,254.82,286.02,341.18,383.27,445.3,568.23,1042.93,-2.41,-7.33,0.11,-3.48,-10.17,-7.44,-2.53,-5.42,10.5,2.67,-5.45,20.41,21.21,19.96,20.57,25.29,25.56,25.32,29.36,18.23,8.81,21.15
42,Pangasinan,264.48,137.5,168.87,190.23,196.59,198.98,221.97,256.11,265.47,372.16,637.14,283.9,123.19,159.76,184.16,195.27,209.43,236.65,257.95,278.15,389.07,802.71,299.75,150.63,194.35,194.35,232.41,234.34,272.33,278.27,308.59,402.26,729.24,7.34,-10.41,-5.4,-3.19,-0.67,5.25,6.61,0.72,4.78,4.54,25.99,5.58,22.27,21.65,5.54,19.02,11.9,15.08,7.88,10.94,3.39,-9.15
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,REGION II - CAGAYAN VALLEY,265.03,103.55,135.3,153.63,171,195.43,206.95,246,293.52,370.28,774.89,290.12,118.43,150.27,171.3,185.6,203.52,223.05,252.98,299.43,410.53,885.44,310.55,156.78,194.68,207.73,224.46,242.52,264.85,289.73,344.28,421.77,757.95,9.47,14.37,11.06,11.5,8.54,4.14,7.78,2.84,2.01,10.87,14.27,7.04,32.38,29.55,21.27,20.94,19.16,18.74,14.53,14.98,2.74,-14.4
45,Batanes,373,165.57,211.5,218.89,243.39,250.79,294.49,346.22,400.79,540.68,1058.45,455.96,180.4,257.8,282.61,247.16,342.58,422.51,474.16,493.01,749.16,1104.4,434.32,180.96,240.53,306.64,297.17,318.27,368.93,398.08,475.82,643.78,1103.96,22.24,8.96,21.89,29.11,1.55,36.6,43.47,36.95,23.01,38.56,4.34,-4.75,0.31,-6.7,8.5,20.23,-7.1,-12.68,-16.05,-3.49,-14.07,-0.04
46,Cagayan,281.03,104.82,132.99,162.56,177.83,206.9,224.61,270.55,325.29,411.18,794.81,290.35,128.7,153.91,170.04,206.52,207.86,219.89,251.75,320.39,423.75,817.94,330.5,153.16,196.51,219.21,223.59,247.06,282.57,295.29,356.27,438.33,891.46,3.31,22.79,15.73,4.6,16.13,0.47,-2.1,-6.95,-1.51,3.06,2.91,13.83,19.01,27.68,28.92,8.27,18.86,28.51,17.29,11.2,3.44,8.99
47,Isabela,239.15,99,135.72,144.65,157.36,183.09,191.57,211.75,258.13,319.76,690.84,291.33,109.62,140.15,169.53,173.18,200.69,218.49,243.49,284.78,394.61,976.32,299.46,162.05,198.66,205.25,226.76,241.97,258.02,286.72,334.95,422.19,656.73,21.82,10.73,3.26,17.2,10.05,9.61,14.05,14.99,10.33,23.41,41.32,2.79,47.83,41.75,21.07,30.94,20.57,18.09,17.75,17.61,6.99,-32.73
48,Nueva Vizcaya,300.09,114.42,144.89,163.5,189.58,230.38,227.89,273.17,329.56,435.4,892.22,269.16,118.5,154.94,167.78,186.85,196.85,218.33,255.13,303.01,368.97,719.92,295.27,159.98,181.24,192.21,219.53,236.46,250.51,293.72,323.34,367.68,727.31,-10.31,3.56,6.94,2.62,-1.44,-14.55,-4.2,-6.6,-8.06,-15.26,-19.31,9.7,35,16.98,14.56,17.49,20.12,14.74,15.13,6.71,-0.35,1.03
49,Quirino,282.06,115.32,141.37,157.51,172.24,200.62,204.57,231.28,274.43,349.86,972.24,317.4,143.13,167.65,187,218.42,238.29,244.52,270.07,345.91,442.02,914.1,311.14,151.53,172.06,192.18,196.22,245.97,240.91,275.54,347.93,426.99,859.56,12.53,24.11,18.59,18.72,26.81,18.77,19.53,16.77,26.05,26.34,-5.98,-1.97,5.87,2.63,2.77,-10.16,3.22,-1.47,2.03,0.58,-3.4,-5.97
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,REGION III - CENTRAL LUZON,333.97,146.19,194.03,219.85,245.9,269.36,306.38,330.57,378.35,457.95,791.36,328.54,151.55,195.69,224.81,237.8,269.82,302.18,330.04,378.32,451.59,743.16,375.24,199.85,250.64,283.39,306.96,328.16,358.54,392.69,428.82,491.51,711.54,-1.63,3.67,0.86,2.26,-3.29,0.17,-1.37,-0.16,-0.01,-1.39,-6.09,14.21,31.88,28.08,26.06,29.08,21.62,18.65,18.98,13.35,8.84,-4.25
52,Aurora,284.41,118.49,139.88,167.09,168.05,182.32,192.54,211.07,308.66,430.29,924.32,278.37,111.14,139.94,163.88,180.61,193.74,215.93,258.59,288.87,378.83,850.49,305.27,147.13,177.35,191.61,193.05,222.16,234.1,249.84,315.89,416.21,903.12,-2.12,-6.2,0.05,-1.92,7.48,6.27,12.15,22.51,-6.41,-11.96,-7.99,9.66,32.38,26.73,16.92,6.88,14.67,8.41,-3.39,9.35,9.87,6.19
53,Bataan,397.36,157.64,212.93,246.47,278.5,325.28,344.55,365.71,449.26,506.34,1088.43,372.43,141.8,196.72,231.5,252.16,271.96,310.26,346.15,416.82,461.16,1094.39,387.33,171.24,214.86,236.54,293.56,319.31,342.43,373.08,439.84,539.15,940.88,-6.27,-10.05,-7.61,-6.07,-9.46,-16.39,-9.95,-5.35,-7.22,-8.92,0.55,4,20.75,9.22,2.18,16.42,17.41,10.37,7.78,5.52,16.91,-14.03
54,Bulacan,356.94,164.91,199.94,241.81,266.86,298.96,341.89,342.93,396.58,522.49,792.26,340.37,155.3,214.53,232.33,239.49,290.26,292.99,345.41,379.25,469.35,781.83,371.94,210.14,254.94,287.36,304.74,308.4,364.38,396.1,423.81,505.37,662.34,-4.64,-5.82,7.29,-3.92,-10.26,-2.91,-14.3,0.72,-4.37,-10.17,-1.32,9.28,35.32,18.84,23.69,27.25,6.25,24.37,14.67,11.75,7.67,-15.28
55,Nueva Ecija,308.78,127.81,160.79,178.66,200.47,230.97,244.32,271.73,324.15,448.1,902.12,267.12,138.1,160.2,174.57,200,222.03,237.85,263.9,283.22,358.99,630.67,323.63,191.23,228.6,245.74,276.03,278.35,313.45,331.85,374.87,396.85,597.76,-13.49,8.05,-0.37,-2.29,-0.24,-3.87,-2.65,-2.88,-12.63,-19.89,-30.09,21.15,38.48,42.69,40.77,38.01,25.37,31.79,25.75,32.36,10.55,-5.22
56,Pampanga (Excluding City of Angeles),333.4,197.14,236.94,259.8,286.51,294.3,319.95,319.59,351.99,440.24,628.26,372.14,229.51,255.27,268.36,321.4,323.52,357.28,383.27,422.37,474.66,684.15,431.51,281.58,320.42,348.01,384.56,361.22,417.59,451.39,476.7,521.36,750.26,11.62,16.42,7.74,3.29,12.18,9.93,11.67,19.92,19.99,7.82,8.9,15.96,22.69,25.52,29.68,19.65,11.65,16.88,17.77,12.86,9.84,9.66
57,City of Angeles,398.26,238.82,274.27,296.3,327.18,359.2,364.57,411.67,446.25,492.63,771.37,443.24,268.78,298.43,332.14,342.36,392.27,413.55,433.74,482.5,526.25,939.76,501.93,346.98,406.65,419.96,447.7,486.5,498.54,525.88,562.36,587.66,735.89,11.3,12.55,8.81,12.1,4.64,9.21,13.43,5.36,8.12,6.83,21.83,13.24,29.09,36.26,26.44,30.77,24.02,20.55,21.24,16.55,11.67,-21.69
