1,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
34,Kalinga,10337.39,695.92,707.51,811.05,804.06,803.29,838.38,1037.21,1110.01,1396.85,2133.11,13106.26,738.4,771.89,898.68,912.43,929.35,1062.78,1270.25,1466.29,1812.16,3244.02,12812.83,896.97,971.83,1015.22,1029.74,1106.02,1137.84,1263.24,1349.57,1513.28,2529.14,26.79,6.1,9.1,10.8,13.48,15.69,26.77,22.47,32.1,29.73,52.08,-2.24,21.47,25.9,12.97,12.86,19.01,7.06,-0.55,-7.96,-16.49,-22.04
35,Mountain Province,6043.79,449.59,428.44,447.56,465.49,492.9,488.7,493.52,649.42,801.84,1326.31,7079.97,442.87,522.56,519.67,564.38,559.58,595.01,670.91,756,872.17,1576.81,8512.1,666,652.23,685.27,676.9,715,734.06,818.06,887.6,1030.98,1646.01,17.14,-1.49,21.97,16.11,21.24,13.53,21.75,35.94,16.41,8.77,18.89,20.23,50.38,24.81,31.87,19.94,27.77,23.37,21.93,17.41,18.21,4.39
36,Apayao,4299.45,279.15,338.13,327.21,367.8,346.49,370.02,369.88,479.46,589.12,832.2,5204.23,328.27,373.81,390.98,411.7,437.79,455.92,471.24,544.19,726.32,1064.01,7299.65,528.53,547.62,544.61,568.7,585.65,590.76,702.09,712.26,863.69,1655.76,21.04,17.6,10.55,19.49,11.94,26.35,23.21,27.4,13.5,23.29,27.86,40.26,61,46.5,39.29,38.14,33.77,29.58,48.99,30.88,18.91,55.62
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,REGION I - ILOCOS REGION,248059.27,15213.27,17409.23,19078.93,20449.82,19419.11,23009.06,24278.03,26438.14,33633.35,49130.33,266177.56,14643.94,18043.89,19080.91,20337.27,22535.99,24170.65,25603.02,29433.69,36067.03,56261.18,303687.83,17492.39,20918.89,23265.39,24218.95,26590.41,28068.94,30236.92,34409.62,38712.57,59773.75,7.3,-3.74,3.65,0.01,-0.55,16.05,5.05,5.46,11.33,7.24,14.51,14.09,19.45,15.93,21.93,19.09,17.99,16.13,18.1,16.91,7.34,6.24
39,Ilocos Norte,32544.41,2065.89,2262.6,2604.01,2746.56,2863.17,2716.34,3257.45,3740.26,4018.83,6269.31,35666.55,2409.68,2955.03,2916.65,2909.13,3073.26,3371.8,3375.62,3517.12,4379.59,6758.66,47010.22,3849.4,4258.16,4129.07,4408.22,4372.99,4302.18,4763.47,4402.67,4726.57,7797.48,9.59,16.64,30.6,12.01,5.92,7.34,24.13,3.63,-5.97,8.98,7.81,31.8,59.75,44.1,41.57,51.53,42.29,27.59,41.11,25.18,7.92,15.37
40,Ilocos Sur,29569.63,1811.91,2076.59,2096.05,2343.23,2386.09,2708.71,2963.25,2982.76,3955.63,6245.41,35059.75,1816.61,2108.11,2337.28,2472.3,2881.15,3092.58,3325.3,4196.93,4966.31,7863.18,40433.29,2350.52,2931.23,3148.64,3181.68,3499.4,3828.6,3967.65,4385.85,4810.63,8329.1,18.57,0.26,1.52,11.51,5.51,20.75,14.17,12.22,40.71,25.55,25.9,15.33,29.39,39.05,34.71,28.69,21.46,23.8,19.32,4.5,-3.13,5.93
41,La Union,41898.92,2434.81,2721.31,3100.88,3264.5,3456.31,3877.86,4121.82,4244.04,5820.92,8856.47,45612.56,2275.68,2830.34,3192.38,3191.76,3606.05,4261.99,4471.75,5198.8,6834.98,9748.81,53800.97,2781.44,3368.64,3801.29,3972.33,4196.43,5091.24,5230.67,6066.5,7515.62,11776.81,8.86,-6.54,4.01,2.95,-2.23,4.33,9.91,8.49,22.5,17.42,10.08,17.95,22.22,19.02,19.07,24.46,16.37,19.46,16.97,16.69,9.96,20.8
42,Pangasinan,144046.32,9105.29,10286.34,11626.09,11861.72,11588.86,12658.88,14045.24,14990.83,19099.26,28783.8,149838.71,8470.17,10237.61,11099.02,11371.72,12268.42,14101.94,14788.42,15229.99,19191.92,33079.5,162443.35,10030.04,12186.58,12312.46,13897.58,13947.19,15348.16,14933.8,16946.5,22067.9,30773.14,4.02,-6.98,-0.47,-4.53,-4.13,5.86,11.4,5.29,1.6,0.49,14.92,8.41,18.42,19.04,10.93,22.21,13.68,8.84,0.98,11.27,14.99,-6.97
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
