rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
51,De'Andre Hunter,27,ATL,SF,29,2,28.00,6.30,13.20,.474,2.70,6.40,.425,3.60,6.80,.520,.577,4.10,4.80,.850,0.70,3.20,3.90,1.40,0.90,0.10,1.40,2.40,19.40
52,Cameron Johnson,28,BRK,PF,35,35,32.30,6.50,13.10,.491,3.20,7.60,.419,3.30,5.50,.591,.613,3.30,3.70,.898,0.70,3.30,4.10,2.90,0.80,0.50,1.70,1.80,19.40
53,Jalen Johnson,23,ATL,SF,34,34,36.40,7.70,15.30,.505,1.30,4.00,.326,6.40,11.30,.568,.547,2.70,3.60,.748,1.80,8.50,10.30,5.20,1.40,1.10,3.00,1.90,19.40
54,Alperen Şengün,22,HOU,C,42,42,31.30,7.70,15.70,.489,0.30,1.50,.230,7.40,14.30,.515,.499,3.50,4.90,.714,3.50,7.00,10.50,5.10,1.30,0.90,2.50,2.70,19.20
55,Daeqwon Plowden,26,ATL,SG,1,0,25.00,7.00,8.00,.875,5.00,6.00,.833,2.00,2.00,1.000,1.188,0.00,0.00,0.0,3.00,1.00,4.00,0.00,0.00,0.00,1.00,4.00,19.00
56,Julius Randle,30,MIN,PF,43,43,33.00,6.60,14.00,.472,1.50,4.70,.330,5.00,9.30,.543,.527,4.20,5.30,.805,2.10,5.20,7.30,4.50,0.60,0.20,3.00,2.50,18.90
57,Kristaps Porziņģis,29,BOS,C,19,19,28.10,6.20,13.40,.465,2.30,5.90,.384,3.90,7.50,.528,.549,4.10,4.80,.837,1.80,5.30,7.10,1.60,0.70,1.40,0.90,2.50,18.70
58,Miles Bridges,26,CHO,PF,26,26,31.50,6.70,15.40,.435,2.10,6.70,.318,4.60,8.70,.524,.504,3.10,3.50,.889,0.90,6.60,7.50,3.60,0.70,0.60,2.00,1.60,18.60
59,Evan Mobley,23,CLE,PF,38,38,30.20,7.10,12.40,.573,1.20,2.80,.421,5.90,9.60,.617,.621,3.20,4.10,.774,2.10,6.80,8.80,2.90,0.90,1.40,2.00,2.00,18.60
60,Austin Reaves,26,LAL,SG,36,36,34.90,6.10,13.90,.440,2.60,7.10,.362,3.50,6.80,.523,.533,3.50,4.20,.841,0.90,3.30,4.10,6.10,1.10,0.20,2.50,2.10,18.30
61,Collin Sexton,26,UTA,SG,39,37,28.90,6.60,13.70,.480,1.90,4.60,.416,4.70,9.10,.513,.550,3.30,3.60,.901,0.90,1.90,2.80,4.00,0.70,0.10,2.50,2.20,18.30
62,Michael Porter Jr.,26,DEN,SF,43,43,33.30,6.90,13.40,.517,2.60,6.20,.418,4.30,7.10,.603,.614,1.80,2.60,.709,1.50,5.00,6.50,2.30,0.60,0.40,1.30,1.90,18.20
