"geolocation","Estimate ('000) 2018","Estimate ('000) 2021","Estimate ('000) 2023","Coefficient of Variation 2018","Coefficient of Variation 2021","Coefficient of Variation 2023","Standard Error 2018","Standard Error 2021","Standard Error 2023","95% Confidence Interval (Lower Limit) 2018","95% Confidence Interval (Lower Limit) 2021","95% Confidence Interval (Lower Limit) 2023","95% Confidence Interval (Upper Limit) 2018","95% Confidence Interval (Upper Limit) 2021","95% Confidence Interval (Upper Limit) 2023"
"....Sarangani 2/, 3/, a/, c/","48.28","47.68","34.07","10.31","8.21","12.52","4.98","3.92","4.26","38.52","40.00","25.71","58.04","55.35","42.43"
"....South Cotabato a/, c/","54.04","54.02","44.46","11.42","9.56","12.24","6.17","5.16","5.44","41.94","43.90","33.79","66.14","64.14","55.12"
"....Sultan Kudarat b/, c/","46.49","46.93","52.94","9.27","10.57","13.42","4.31","4.96","7.10","38.05","37.20","39.02","54.94","56.65","66.87"
"..Region XIII (Caraga) 1/, 2/, 3/","149.37","171.90","103.12","3.89","3.92","5.02","5.82","6.74","5.18","137.97","158.70","92.96","160.77","185.10","113.28"
"....Agusan del Norte 1/, 2/","31.62","42.27","27.70","7.45","5.65","8.12","2.36","2.39","2.25","27.00","37.59","23.30","36.24","46.95","32.11"
"....Agusan del Sur 2/","50.49","58.97","43.11","7.86","7.19","9.35","3.97","4.24","4.03","42.71","50.66","35.21","58.27","67.27","51.02"
"....Surigao del Norte 2/, 3/, b/, c/","32.76","27.28","9.21","6.91","11.80","13.25","2.26","3.22","1.22","28.33","20.97","6.82","37.20","33.59","11.60"
"....Surigao del Sur 1/, 2/, 3/, c/","26.65","35.36","15.81","9.75","9.06","11.85","2.60","3.20","1.87","21.55","29.08","12.14","31.74","41.64","19.48"
"....Dinagat Islands a/, b/, c/","7.84","8.03","7.29","10.40","12.89","10.04","0.82","1.03","0.73","6.25","6.00","5.85","9.44","10.06","8.72"
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) r1, 1/, 3/, 5/","377.02","211.68","196.53","3.73","4.68","3.84","14.04","9.90","7.55","349.49","192.27","181.73","404.55","231.09","211.34"
"....Basilan 1/, 3/","41.98","28.49","23.52","7.63","7.61","8.37","3.20","2.17","1.97","35.71","24.24","19.66","48.26","32.74","27.38"
"....Lanao del Sur 1/, 2/, 3/, b/, c/","109.12","13.25","22.43","6.54","11.60","10.31","7.14","1.54","2.31","95.13","10.24","17.89","123.11","16.26","26.96"
"....Maguindanao","84.58","66.43","70.99","8.01","9.71","6.11","6.78","6.45","4.34","71.30","53.79","62.48","97.86","79.07","79.49"
"......Maguindanao del Norte","..","..","31.26","..","..","7.66","..","..","2.39","..","..","26.57","..","..","35.96"
"......Maguindanao del Sur","..","..","39.72","..","..","9.11","..","..","3.62","..","..","32.63","..","..","46.82"
"....Sulu r1, 1/, 2/, 3/, c/","110.00","64.18","20.83","8.37","9.40","13.03","9.21","6.03","2.71","91.94","52.36","15.51","128.05","76.00","26.15"
"....Tawi-tawi 1/, 3/, a/, b/, c/","10.49","20.17","23.47","10.48","14.92","12.38","1.10","3.01","2.91","8.33","14.27","17.77","12.64","26.06","29.17"
"....Cotabato City b/","20.85","19.16","20.57","9.71","10.38","9.90","2.02","1.99","2.04","16.88","15.26","16.58","24.82","23.05","24.56"
