"Summary Statistics for Information and Communication Establishments"

"Industry Description","2016 Number of establishments All Employment Sizes","2016 Number of establishments Total Employment of 20 and Over","2016 Number of establishments Total Employment of Less than 20","2016 Total employment All Employment Sizes","2016 Total employment Total Employment of 20 and Over","2016 Total employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total income All Employment Sizes","2016 Total income Total Employment of 20 and Over","2016 Total income Total Employment of Less than 20","2016 Total expense All Employment Sizes","2016 Total expense Total Employment of 20 and Over","2016 Total expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other expense All Employment Sizes","2016 Other expense Total Employment of 20 and Over","2016 Other expense Total Employment of Less than 20","2016 Value added All Employment Sizes","2016 Value added Total Employment of 20 and Over","2016 Value added Total Employment of Less than 20","2016 Goss additions to fixed assets All Employment Sizes","2016 Goss additions to fixed assets Total Employment of 20 and Over","2016 Goss additions to fixed assets Total Employment of Less than 20","2016 Change in inventories All Employment Sizes","2016 Change in inventories Total Employment of 20 and Over","2016 Change in inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce sales All Employment Sizes","2016 E-Commerce sales Total Employment of 20 and Over","2016 E-Commerce sales Total Employment of Less than 20"
"..Other wireless telecommunication services, n.e.c.",5,s,s,743,s,s,743,s,s,1192879,s,s,1075885,s,s,463547,s,s,612339,s,s,606810,s,s,122,s,s,5529,s,s,0,s,s,0,s,s
"..Satellite telecommunications activities",290,84,206,7819,6147,1672,7784,6130,1654,20658171,19308176,1349995,19086880,17935030,1151851,3003054,2784569,218485,16083826,15150460,933366,7708339,7168780,539559,3808610,3761998,46613,-245840,-236605,-9236,0,0,0,0,0,0
"..Internet access in facilities open to the public service activities",2629,c,2628,7908,c,7878,6609,c,6579,2601702,c,2568888,2354132,c,2320659,506119,c,499284,1848014,c,1821375,1029340,c,1019788,16638,c,16638,-3241,c,-3120,0,c,0,0,c,0
"..Voice over internet protocol (voip) service activities",s,2,..,s,55,..,s,55,..,s,66812,..,s,63715,..,s,8632,..,s,55083,..,s,15355,..,s,0,..,s,-121,..,s,0,..,s,0,..
"..Other telecommunications service activities, n.e.c.",44,25,19,2645,2451,194,2642,2451,191,9399361,8603695,795666,9201853,8540450,661403,1626506,1555293,71213,7575347,6985157,590190,2097011,1859844,237167,44152,6375,37777,4976,4634,342,0,0,0,0,0,0
"..Computer programming activities",512,283,229,38808,36452,2356,38730,36407,2323,74227912,70972850,3255061,67831922,64853902,2978020,25459117,24485725,973391,42372805,40368176,2004629,34292054,32945303,1346752,1266149,1251073,15075,-44662,-37386,-7276,0,0,0,357054,356904,150
"..Computer consultancy and computer facilities management activities",91,64,27,11476,11272,204,11472,11271,201,26262304,25558704,703600,23451145,22799354,651791,6762958,6689794,73164,16688187,16109560,578627,11824833,11672575,152257,261506,261152,354,1578,1578,0,0,0,0,561,561,0
"..Other information technology and computer service activities",63,33,30,3780,3457,323,3772,3452,320,8580889,6008218,2572671,7928021,5508988,2419033,1884966,1778249,106717,6043055,3730739,2312316,2746051,2454974,291077,72369,70354,2015,-5702,-6282,581,11911,11911,0,0,0,0
"..Data processing",48,42,6,14052,13989,63,14050,13987,63,14073623,14045134,28489,9835600,9811718,23883,4408054,4397364,10690,5427546,5414353,13192,9069310,9051410,17900,323826,322999,827,-6,-6,0,0,0,0,0,0,0
"..Website hosting services",22,8,14,905,767,138,905,767,138,516823,448018,68804,450364,380956,69408,296247,259226,37021,154117,121730,32387,374481,334346,40135,5762,4279,1483,0,0,0,0,0,0,878,878,0
"..Application hosting services",4,s,s,448,s,s,448,s,s,1384533,s,s,804738,s,s,223136,s,s,581602,s,s,912611,s,s,26830,s,s,0,s,s,0,s,s,0,s,s
"..News agency activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Other information service activities, n.e.c.",7,4,3,409,387,22,409,387,22,1654231,1644631,9600,1629805,1625334,4470,268831,266418,2413,1360974,1358916,2057,317341,309387,7953,6275,6165,110,0,0,0,0,0,0,0,0,0
