geolocation,industry_description,number_of_establishments_at_2020,total_employment_as_of_15_november_at_2020,paid_employment_as_of_15_november_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_as_of_15_november_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_2020,subsidies_2020
Western Visayas,Private security activities,25,3825,3824,114,776956,724919,644754,80164,707939,12118,0,0,0
Western Visayas,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Cleaning activities,13,1431,1428,0,388971,372385,209136,163249,245078,9242,1228,0,0
Western Visayas,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Office administrative and support activities,25,99,99,0,40072,35675,7740,27935,33902,0,-93,0,0
Western Visayas,Call centers and other related activities,30,25143,24853,99,12559602,10155683,7335087,2820596,10270897,469092,55,59045,89959
Western Visayas,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Business support service activities, n.e.c.",6,52,52,0,25919,21710,12685,9024,17813,717,-217,0,0
Central Visayas,Administrative and Support Service Activities,613,125448,125356,1782,67200287,59209747,41318843,17890904,53659597,1918883,13169,1366108,94804
Central Visayas,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Renting and leasing of personal and household goods,24,221,220,0,51342,53109,33389,19721,35056,0,117,0,0
Central Visayas,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Leasing of intellectual property and  similar products, except copyrighted works",14,498,495,0,159522,142010,60188,81821,97590,12231,-2852,0,0
Central Visayas,Activities of employment placement agencies,143,971,971,0,815456,595392,205093,390299,514218,4416,0,0,0
Central Visayas,Temporary employment agency activities,87,25455,25448,1036,4260856,4081506,3524087,557419,3877637,337259,-7676,0,0
Central Visayas,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Travel agency and tour operator activities,40,609,609,0,157243,155149,83739,71410,93517,29216,115,0,1805
Central Visayas,Other reservation service and related activities,24,732,727,19,290904,289138,215242,73896,231002,1038,-259,0,0
Central Visayas,Private security activities,48,10790,10788,0,1541797,1472696,1278499,194196,1376286,8275,535,0,0
Central Visayas,Security systems service activities,4,279,278,17,43567,41043,31016,10026,35896,0,0,0,0
Central Visayas,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Cleaning activities,23,2314,2314,0,455850,428968,266785,162183,319853,1069,1270,0,0
Central Visayas,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Office administrative and support activities,33,407,397,0,257424,203911,38234,165677,77222,22750,30338,0,0
Central Visayas,Call centers and other related activities,142,82472,82418,710,58805421,51443661,35434676,16008985,46760857,1502629,-8419,1366108,92999
Central Visayas,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Business support service activities, n.e.c.",31,700,690,0,360904,303166,147895,155271,240467,0,0,0,0
Eastern Visayas,Administrative and Support Service Activities,57,2315,2300,66,883126,821078,274548,546530,344022,4932,3382,0,0
Eastern Visayas,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Renting and leasing of personal and household goods,5,21,21,0,1799,1703,939,764,2995,0,-1878,0,0
Eastern Visayas,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",7,163,163,0,80590,85553,15190,70363,18975,37,1250,0,0
Eastern Visayas,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Activities of employment placement agencies,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Temporary employment agency activities,14,1594,1590,0,545265,502073,192026,310047,225605,4866,3655,0,0
