geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,gross_margin_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Central Luzon,"Retail sale of food, beverages and tobacco in specialized stores",799,3018,3003,279,8864770,8025610,366465,7659146,2096330,1566792,337366,2576341,0,0
Central Luzon,Retail sale of automotive fuel in specialized stores,712,6948,6880,421,28705456,27982362,794984,27187378,2286442,1808606,239027,-158002,0,4771
Central Luzon,Retail sale of information and communications equipment in specialized stores,435,2232,2232,63,5263305,4880596,209152,4671444,980437,679055,7649,-158150,0,0
Central Luzon,Retail sale of other household equipment in specialized stores,874,10989,10236,221,25489138,22671027,1325912,21345115,5982896,4694848,465021,-292337,0,3512
Central Luzon,Retail sale of cultural and recreation goods in specialized stores,157,2342,2342,42,2223983,2184126,346696,1837430,853214,615142,398594,-107400,0,0
Central Luzon,Retail sale of other goods in specialized stores,1976,12351,12154,416,47466282,47136619,2684286,44452333,11243336,6946086,291363,5886559,103763,3612
Central Luzon,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,13603,125931,123479,40004,737863444,715707387,25595843,690111544,104022365,62390915,2819725,-4199306,252712,21700
Calabarzon,Sale of motor vehicles,130,7710,7710,552,71154047,65046127,1946995,63099132,8070701,11439086,36589,-4468605,0,0
Calabarzon,Maintenance and repair of motor vehicles,334,2431,2382,4,2316455,2134105,316583,1817522,0,553174,22583,-30937,0,0
Calabarzon,Sale of motor vehicle parts and accessories,467,2282,2004,2,2326463,2229204,254881,1974323,416481,323098,0,-4278,0,0
Calabarzon,"Sale, maintenance and repair of motorcycles and related parts and accessories",1048,9698,9435,30,22035778,21253168,1372586,19880582,4135866,2712916,399402,1686498,0,0
Calabarzon,Wholesale on a fee or contract basis,14,664,664,0,1738908,1628518,129637,1498881,0,263893,0,-30125,0,0
Calabarzon,Wholesale of agricultural raw materials and live animals,125,1022,972,216,5211158,6135095,1116863,5018232,629365,235925,0,4899734,0,0
Calabarzon,"Wholesale of food, beverages and tobacco",180,3955,3904,470,39370348,39061791,622217,38439574,1817612,1058246,23196,-343805,0,0
Calabarzon,Wholesale of household goods,307,7004,6908,2734,23384367,22761397,1324940,21436457,4741794,2748427,117338,88855,0,0
Calabarzon,"Wholesale of machinery, equipment and supplies",201,3260,3248,333,56352091,54536752,1117806,53418946,5170415,2577260,3602,-4096889,170,384
Calabarzon,Other specialized wholesale,503,5562,5505,166,46791323,46438015,996355,45441661,4080075,2203870,87508,56345,0,0
Calabarzon,Non-specialized wholesale trade,3,12,12,0,8913,7748,986,6762,2841,2822,0,1075,0,0
Calabarzon,Retail sale in non-specialized stores,1599,23076,22819,18127,195970801,189520690,4642965,184877725,35120250,15988015,532877,-4569450,0,0
Calabarzon,"Retail sale of food, beverages and tobacco in specialized stores",1107,4381,4013,177,4581844,4325556,557977,3767578,1586079,926363,51278,-347151,0,0
Calabarzon,Retail sale of automotive fuel in specialized stores,910,8773,8525,1014,43804282,40753323,1845568,38907755,4558980,3436318,275818,397318,0,0
Calabarzon,Retail sale of information and communications equipment in specialized stores,704,3732,3688,99,56925866,56332522,474921,55857601,2821168,1555415,14832,231814,0,0
Calabarzon,Retail sale of other household equipment in specialized stores,1909,17173,16720,14202,63941278,63942225,2477766,61464459,12951905,5637816,779758,197676,0,0
Calabarzon,Retail sale of cultural and recreation goods in specialized stores,327,4384,4384,0,4386867,4328543,286185,4042358,1387793,596518,33417,296801,0,0
Calabarzon,Retail sale of other goods in specialized stores,3693,20606,20381,1863,97143841,94876715,6069963,88806752,16364775,10026411,376522,1813277,252542,21316
Calabarzon,"Retail trade not in stores, stalls or markets",40,206,206,15,418811,395891,40647,355243,166266,105342,65006,22542,0,0
Mimaropa Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,1768,15365,15091,169,55536792,52486303,1967235,50519068,9949792,6662989,442987,-2165586,0,24509
Mimaropa Region,Sale of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Maintenance and repair of motor vehicles,31,112,112,0,81827,65802,8389,57414,0,28620,0,-587,0,0
Mimaropa Region,Sale of motor vehicle parts and accessories,27,54,46,0,72745,62555,4279,58275,21968,16083,0,-24070,0,0
Mimaropa Region,"Sale, maintenance and repair of motorcycles and related parts and accessories",298,3102,3068,0,9965580,8994584,411194,8583390,2298368,1785125,144085,-559238,0,0
Mimaropa Region,Wholesale on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Wholesale of agricultural raw materials and live animals,75,329,275,0,411675,402351,36252,366099,74494,50500,104232,-11473,0,12751
Mimaropa Region,"Wholesale of food, beverages and tobacco",79,2037,2009,100,12089276,11907149,189344,11717804,856301,489725,0,42723,0,0
Mimaropa Region,Wholesale of household goods,89,377,377,0,259082,235064,20084,214980,64532,56582,98,21072,0,0
Mimaropa Region,"Wholesale of machinery, equipment and supplies",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Other specialized wholesale,35,390,390,0,1775258,1737393,57144,1680249,261309,216735,3645,-112113,0,0
Mimaropa Region,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Retail sale in non-specialized stores,153,3188,3188,8,15949106,15514403,593595,14920808,3176606,1525964,125684,-598130,0,0
Mimaropa Region,"Retail sale of food, beverages and tobacco in specialized stores",118,567,567,0,874613,875862,52358,823504,129489,72887,15912,12694,0,0
Mimaropa Region,Retail sale of automotive fuel in specialized stores,102,331,331,0,1848056,1815734,32979,1782755,143950,130851,0,-70999,0,0
Mimaropa Region,Retail sale of information and communications equipment in specialized stores,83,403,397,0,587819,561760,41365,520395,165650,115354,180,109999,0,0
Mimaropa Region,Retail sale of other household equipment in specialized stores,212,1721,1719,51,4820924,4595851,171458,4424394,595666,499334,35221,-65221,0,0
Mimaropa Region,Retail sale of cultural and recreation goods in specialized stores,43,156,156,0,125421,103411,16484,86927,42045,36398,0,-31263,0,0
Mimaropa Region,Retail sale of other goods in specialized stores,386,2180,2038,0,5696103,4636020,283770,4352250,2031460,1527884,2362,-791938,0,11758
Mimaropa Region,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3177,32781,32222,619,202647186,194706605,5544880,189161725,42365823,36374412,801938,5539336,73738,18111
Bicol Region,Sale of motor vehicles,24,765,765,7,5672361,5523573,122950,5400623,307546,403799,0,96026,0,0
Bicol Region,Maintenance and repair of motor vehicles,51,442,404,26,348978,310321,61620,248701,0,120942,0,1122,0,0
Bicol Region,Sale of motor vehicle parts and accessories,101,423,383,0,733921,709146,51733,657412,157818,115629,12672,-125376,0,0
Bicol Region,"Sale, maintenance and repair of motorcycles and related parts and accessories",310,1749,1749,0,4009153,3811060,234517,3576542,879721,712753,47236,121598,0,0
Bicol Region,Wholesale on a fee or contract basis,8,330,330,5,1815056,1718131,92607,1625524,0,410689,17151,-6522,0,0
Bicol Region,Wholesale of agricultural raw materials and live animals,65,356,356,0,642274,624837,30665,594172,112006,56046,0,-29443,0,0
Bicol Region,"Wholesale of food, beverages and tobacco",120,4729,4727,3,92687624,90767658,1043090,89724567,26498474,24138077,296946,7590628,0,0
Bicol Region,Wholesale of household goods,177,1320,1262,96,4476493,4312391,133455,4178936,425300,329953,4560,42805,0,72
Bicol Region,"Wholesale of machinery, equipment and supplies",43,143,143,0,111833,117909,25193,92717,16828,58853,0,11274,0,0
Bicol Region,Other specialized wholesale,71,2645,2645,57,16485012,15755781,466288,15289493,2350091,1527145,7958,-2737059,0,0
Bicol Region,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Retail sale in non-specialized stores,289,8351,8191,282,24953249,24920432,1271122,23649310,2463260,1208598,165950,281353,0,18039
Bicol Region,"Retail sale of food, beverages and tobacco in specialized stores",181,511,511,0,802158,760624,46038,714586,192626,67997,7570,-379550,0,0
Bicol Region,Retail sale of automotive fuel in specialized stores,268,1950,1871,0,7586452,7510730,243326,7267404,516684,361279,24169,209394,0,0
Bicol Region,Retail sale of information and communications equipment in specialized stores,137,785,785,0,10432832,7413207,104230,7308977,3207161,3131055,0,201944,0,0
Bicol Region,Retail sale of other household equipment in specialized stores,318,3003,2932,119,8549927,8373759,193458,8180301,660571,394513,-9005,38346,0,0
Bicol Region,Retail sale of cultural and recreation goods in specialized stores,105,594,561,0,705419,676445,19776,656669,78200,64792,0,-5314,0,0
Bicol Region,Retail sale of other goods in specialized stores,897,4644,4567,0,22589657,21360139,1400445,19959695,4481059,3262534,226731,228666,73738,0
Bicol Region,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,5457,61500,60774,13129,263407523,247995387,11099579,236895809,48247528,32880752,2974036,6200104,5843,0
Western Visayas,Sale of motor vehicles,73,668,668,0,3395503,3053562,60707,2992855,487156,419581,0,65674,0,0
Western Visayas,Maintenance and repair of motor vehicles,85,232,232,0,132978,123496,20607,102889,0,9844,0,-25383,0,0
