sub_object_code_id,sub_object_code
999,493034
1000,465301
1001,506060
1002,446121
1003,435517
1004,486080
1005,591370
1006,465771
1007,486671
1008,460503
1009,533120
1010,410942
1011,425944
1012,465671
1013,560310
1014,473301
1015,527880
1016,478990
1017,527870
1018,435632
1019,465577
1020,437213
1021,463519
1022,466004
1023,445105
1024,466201
1025,533140
1026,486540
1027,463503
1028,412913
1029,581921
1030,468131
1031,465365
1032,465666
1033,435521
1034,519000
1035,563565
1036,445209
1037,479945
1038,460652
1039,425911
1040,461108
1041,461144
1042,479997
1043,430190
1044,535315
1045,537230
1046,595210
1047,477211
1048,563511
1049,465269
1050,465368
1051,581100
1052,440104
1053,440103
1054,461116
1055,440124
1056,591160
1057,466601
1058,462531
1059,445169
1060,591445
1061,487230
1062,465830
1063,445219
1064,495010
1065,473269
1066,536815
1067,465668
1068,473262
1069,470120
1070,460901
1071,465342
1072,460156
1073,465873
1074,465362
1075,595030
1076,473162
1077,473150
1078,473249
1079,435230
1080,436760
1081,470116
1082,476111
1083,473247
1084,466015
1085,420911
1086,435531
1087,537510
1088,464630
1089,435225
1090,462651
1091,595050
1092,440203
1093,460193
1094,479961
1095,493011
1096,460114
1097,581072
1098,435216
1099,448935
1100,473119
1101,533220
1102,528920
1103,466108
1104,536940
1105,445171
1106,581167
1107,420711
1108,544970
1109,465674
1110,465665
1111,493030
1112,466504
1113,479950
1114,466704
1115,581142
1116,465645
1117,465266
1118,465278
1119,460907
1120,466503
1121,465912
1122,412510
1123,467218
1124,581610
1125,461186
1126,440150
1127,462598
1128,486480
1129,460124
1130,465773
1131,460618
1132,486300
1133,460905
1134,461103
1135,435235
1136,581086
1137,581166
1138,539000
1139,463105
1140,473266
1141,411223
1142,463595
1143,591390
1144,538400
1145,465950
1146,465874
1147,581900
1148,460117
1149,445511
1150,464710
1151,460502
1152,467215
1153,465317
1154,467611
1155,465374
1156,445128
1157,479995
1158,460667
1159,556400
1160,581161
1161,467321
1162,595240
1163,410920
1164,581220
1165,461109
1166,476201
1167,535940
1168,476121
1169,487100
1170,420230
1171,448929
1172,479996
1173,412931
1174,581162
1175,425912
1176,465766
1177,552240
1178,539220
1179,591020
1180,493002
1181,463102
1182,536270
1183,473257
1184,470114
1185,473251
1186,437411
1187,460678
1188,465860
1189,465328
1190,465274
1191,465244
1192,493032
1193,465265
1194,465767
1195,465772
1196,493024
1197,597100
1198,465401
1199,465905
1200,435217
1201,460136
1202,465308
1203,460102
1204,437712
1205,445621
1206,444932
1207,462673
1208,591140
1209,445705
1210,462681
1211,460108
1212,460674
1213,460676
1214,435542
1215,536200
1216,447101
1217,460197
1218,437711
1219,477911
1220,411220
1221,440202
1222,448918
1223,464000
1224,444012
1225,591110
1226,436360
1227,460168
1228,475319
1229,437421
1230,515000
1231,420236
1232,460673
1233,435215
1234,460134
1235,465811
1236,461160
1237,466101
1238,445418
1239,466006
1240,411310
1241,463539
1242,437441
1243,477611
1244,435519
1245,437217
1246,460672
1247,465201
1248,465823
1249,465857
1250,526510
1251,581845
1252,435512
1253,420921
1254,554140
1255,461141
1256,460198
1257,462652
1258,435233
1259,467521
1260,463576
1261,447501
1262,435288
1263,440156
1264,440148
1265,425590
1266,425946
1267,420340
1268,437499
1269,466301
1270,461130
1271,435219
1272,445999
1273,437311
1274,465667
1275,460186
1276,435115
1277,536290
1278,531220
1279,412110
1280,430140
1281,553240
1282,465834
1283,501060
1284,465208
1285,487190
1286,512050
1287,473203
1288,435540
1289,510060
1290,460641
1291,464101
1292,581530
1293,461185
1294,465819
1295,523040
1296,437425
1297,475890
1298,460600
1299,495032
1300,503080
1301,465322
1302,473168
1303,549810
1304,515410
