geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Bicol Region,Call centers and other related activities,15,5213,5206,0,3628206,2237962,1716694,521268,3200782,66331,19,771928,0
Bicol Region,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Business support service activities, n.e.c.",10,63,63,0,8929,8426,5795,2631,6758,7945,0,0,0
Western Visayas,Administrative and Support Service Activities,278,43139,43119,7648,28934582,25348113,9612454,15735659,14457159,193026,-996,97809,239892
Western Visayas,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Renting and leasing of personal and household goods,9,72,72,0,20219,10596,5452,5144,18210,537,-2266,0,0
Western Visayas,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",5,79,79,0,74124,66797,5398,61399,14871,0,540,0,0
Western Visayas,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Activities of employment placement agencies,85,2608,2606,7512,755879,670771,335940,334831,434606,58560,-113,0,0
Western Visayas,Temporary employment agency activities,28,3055,3055,0,423542,396576,344999,51576,380070,81,-71,0,0
Western Visayas,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Travel agency and tour operator activities,13,203,203,0,53847,49298,26754,22544,33001,1233,8,400,0
Western Visayas,Other reservation service and related activities,22,1321,1306,36,249860,213267,133717,79550,191509,1902,-2794,0,0
Western Visayas,Private security activities,31,4525,4524,81,839299,799153,733117,66036,781699,2816,1393,0,0
Western Visayas,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Cleaning activities,15,2023,2023,0,524464,453101,226214,226888,304398,10962,2005,0,0
Western Visayas,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
