by_month_incident_date,incident_category,analysis_neighborhood,count,point
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42473126057587 37.80228098253618)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.42581176757812 37.79927444458008)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42581353216052 37.79927567014091)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.4254368676107 37.79740834964961)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42891397690136 37.79792540700026)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.42910223918891 37.79885752312248)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42764531240132 37.79999725641268)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42600125086824 37.80020624738465)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43093872070312 37.79957962036133)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.43220428969965 37.797506948421855)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43412780761719 37.7986946105957)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43413018903654 37.79869610241222)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43403570059589 37.79823006952281)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43549346923828 37.797088623046875)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43732452392578 37.79780960083008)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43567821318092 37.798021121524975)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.43751525878906 37.79874038696289)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43595886230469 37.79941940307617)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43627391136633 37.80081414349149)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43669128417969 37.80262756347656)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43669334831304 37.802628423158055)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43460234549785 37.80102663954973)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42985540497247 37.80258332848219)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43516540527344 37.8038215637207)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.43704223632812 37.804359436035156)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43379974365234 37.8050422668457)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.43379794514195 37.80504328668041)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43818664550781 37.80516052246094)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.4381872179519 37.80515884427554)
