"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"03053205","0","030532050","380 Eddy St.","2003-07-04T00:00:00.000","031850325","2003-07-04T19:50:27.000","2003-07-04T19:50:27.000","2003-07-04T19:54:03.000","SF","94109","B02","03",,"1","4","0","0","0","0",,"0","0","0","0","0","0","1","113 - Cooking fire, confined to container","None","63 - Restore fire alarm system",,,"1 - Detector alerted occupants","429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.41388 37.78384)","2003-07-22T08:52:39.000","2025-06-01T02:18:08.000"
"03053211","0","030532110","Buchanan St. / Union St.","2003-07-04T00:00:00.000","031850333","2003-07-04T20:07:35.000","2003-07-04T20:09:18.000","2003-07-04T20:11:00.000","SF","94115","B04","16",,"2","9","0","0","0","0","T16","0","0","0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","Marina","POINT (-122.432209 37.797506)","2003-07-07T18:22:15.000","2025-06-01T02:18:08.000"
"03053212","0","030532120","1750 The Embarcadero Nor","2003-07-04T00:00:00.000","031850334","2003-07-04T20:11:07.000","2003-07-04T20:13:11.000","2003-07-04T20:31:02.000","SF","94133","B01","28",,"1","4","0","0","0","0","E28","0","0","0","0","0","0","1","118 - Trash or rubbish fire, contained","None","11 - Extinguish","12 - Salvage & overhaul",,"2 - Detector did not alert occupants","898 - Dock, marina, pier, wharf",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","North Beach","POINT (-122.404972 37.806742)","2003-07-05T07:18:37.000","2025-06-01T02:18:08.000"
"03053218","0","030532180","1303 Fell St.","2003-07-04T00:00:00.000","031850341","2003-07-04T20:35:05.000","2003-07-04T20:36:33.000","2003-07-04T20:45:13.000","SF","94117","B05","21",,"3","11","0","0","0","0","B05","0","0","0","0","0","0","1","715 - Local alarm sys., Malicious False alarm","None","63 - Restore fire alarm system",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Hayes Valley","POINT (-122.43953897 37.77368223)","2003-07-04T21:22:37.000","2025-06-01T02:18:08.000"
"03053221","0","030532210","610 Shotwell St.","2003-07-04T00:00:00.000","031850347","2003-07-04T20:52:00.000","2003-07-04T20:52:00.000","2003-07-04T20:55:37.000","SF","94110","B06","07",,"1","4","0","0","0","0",,"0","0","0","0","0","0","1","900 - Special type of incident, other","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Mission","POINT (-122.41606565 37.75850321)","2003-07-04T20:55:37.000","2025-06-01T02:18:08.000"
"03053222","0","030532220","762 Capp St.","2003-07-04T00:00:00.000","031850346","2003-07-04T20:53:08.000","2003-07-04T20:56:59.000","2003-07-04T21:26:59.000","SF","94110","B06","07",,"3","11","0","0","0","0","E11","0","0","0","0","0","0","1","423 - Refrigeration leak","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Mission","POINT (-122.41797471 37.75446296)","2003-07-05T04:31:37.000","2025-06-01T02:18:08.000"
"03053223","0","030532230","244 Mullen Av.","2003-07-04T00:00:00.000","031850348","2003-07-04T20:56:03.000","2003-07-04T21:00:06.000","2003-07-04T21:00:06.000","SF","94110","B06","09",,"3","11","0","0","0","0",,"0","0","0","0","0","0","1","611 - Dispatched & canceled en route","None","93 - Cancelled enroute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Bernal Heights","POINT (-122.4060256 37.7470362)","2003-07-04T22:57:32.000","2025-06-01T02:18:08.000"
"03053224","0","030532240","336 Corbett Av.","2003-07-04T00:00:00.000","031850349","2003-07-04T20:57:05.000","2003-07-04T21:00:11.000","2003-07-04T21:02:09.000","SF","94117","B05","24",,"3","11","0","0","0","0","E24","0","0","0","0","0","0","1","740 - Unintentional alarm, other","None","86 - Investigate",,,,"419 - 1 or 2 family dwelling",,,,,,,,,,,,,,,,,,,,,,,,,,,"8","Castro/Upper Market","POINT (-122.4459443 37.75875591)","2003-07-04T21:26:47.000","2025-06-01T02:18:08.000"
"03053226","0","030532260","887 Potrero Av.","2003-07-04T00:00:00.000","031850352","2003-07-04T21:02:07.000","2003-07-04T21:05:52.000","2003-07-04T21:16:39.000","SF","94107","B10","07",,"1","4","0","0","0","0","T09","0","0","0","0","0","0","1","551 - Assist PD or other Govern. Agency","None","70 - Assistance, other",,,,"331 - Hospital - medical or psychiatric",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Mission","POINT (-122.406708 37.757687)","2003-07-05T06:38:23.000","2025-06-01T02:18:08.000"
"03053227","0","030532270","Belvedere St. / Haight St.","2003-07-04T00:00:00.000","031850355","2003-07-04T21:10:44.000","2003-07-04T21:15:45.000","2003-07-04T21:26:04.000","SF","94117","B05","12",,"1","4","0","0","0","0","E12","0","0","0","0","0","0","1","911 - Citizen complaint","None","86 - Investigate",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Haight Ashbury","POINT (-122.449647 37.769662)","2003-07-04T22:03:16.000","2025-06-01T02:18:08.000"
