per_month_incident_date,incident_category,analysis_neighborhood,count,geolocation_x_axis,geolocation_y_axis
2018-03-01,Burglary,South of Market,1,-122.40827158967764,37.778860686349766
2018-03-01,Burglary,South of Market,1,-122.41093657493794,37.77921168445851
2018-03-01,Burglary,South of Market,3,-122.41193341005338,37.780005867994824
2018-03-01,Burglary,South of Market,1,-122.41471099853516,37.77622985839844
2018-03-01,Burglary,South of Market,1,-122.41657257080078,37.77390670776367
2018-03-01,Burglary,South of Market,1,-122.4137181543595,37.77543698128962
2018-03-01,Burglary,South of Market,1,-122.41160611386445,37.77622135530407
2018-03-01,Burglary,South of Market,1,-122.40884575063417,37.775953228502786
2018-03-01,Burglary,South of Market,1,-122.40837860107422,37.77631759643555
2018-03-01,Burglary,South of Market,1,-122.40838011465424,37.7763183872823
2018-03-01,Burglary,South of Market,1,-122.40999603271484,37.77589416503906
2018-03-01,Burglary,South of Market,1,-122.40999679852958,37.775893403075585
2018-03-01,Burglary,South of Market,1,-122.4095230102539,37.77455139160156
2018-03-01,Burglary,South of Market,1,-122.40851593017578,37.77375793457031
2018-03-01,Burglary,South of Market,2,-122.40851633190513,37.77375969975922
2018-03-01,Burglary,South of Market,3,-122.41069030761719,37.77302551269531
2018-03-01,Burglary,South of Market,1,-122.41029202788059,37.78223057378371
2018-03-01,Burglary,South of Market,1,-122.40895080566406,37.783287048339844
2018-03-01,Burglary,South of Market,1,-122.40787123735107,37.782750647110156
2018-03-01,Burglary,South of Market,1,-122.4028493598664,37.78154661930716
2018-03-01,Burglary,South of Market,2,-122.40116119384766,37.78202438354492
2018-03-01,Burglary,South of Market,1,-122.40426635742188,37.78447723388672
2018-03-01,Burglary,South of Market,1,-122.40486479517743,37.784006612420036
2018-03-01,Burglary,South of Market,1,-122.40583038330078,37.785743713378906
2018-03-01,Burglary,South of Market,1,-122.4058310124795,37.78574398866823
2018-03-01,Burglary,South of Market,1,-122.39834110837147,37.78179876714438
2018-03-01,Burglary,South of Market,1,-122.39584350585938,37.78132247924805
2018-03-01,Burglary,South of Market,1,-122.3958435001427,37.781321256248475
2018-03-01,Burglary,Sunset/Parkside,1,-122.50794219970703,37.74911117553711
2018-03-01,Burglary,Sunset/Parkside,1,-122.50794154857728,37.74911093709113
2018-03-01,Burglary,Sunset/Parkside,1,-122.50153572733606,37.743784903166066
2018-03-01,Burglary,Sunset/Parkside,1,-122.50569152832031,37.74171447753906
2018-03-01,Burglary,Sunset/Parkside,1,-122.48377227783203,37.73434066772461
2018-03-01,Burglary,Sunset/Parkside,1,-122.48426360978506,37.742673110989635
2018-03-01,Burglary,Sunset/Parkside,1,-122.4771499633789,37.748600006103516
2018-03-01,Burglary,Sunset/Parkside,1,-122.48533630371094,37.74262619018555
2018-03-01,Burglary,Sunset/Parkside,1,-122.49053434449989,37.75549313113884
2018-03-01,Burglary,Sunset/Parkside,1,-122.47913360595703,37.76160430908203
2018-03-01,Burglary,Sunset/Parkside,1,-122.47806549072266,37.761653900146484
2018-03-01,Burglary,Sunset/Parkside,3,-122.47806197762905,37.761653156800996
2018-03-01,Burglary,Sunset/Parkside,1,-122.47668417831322,37.757968980815505
2018-03-01,Burglary,Sunset/Parkside,1,-122.47818756103516,37.76351547241211
2018-03-01,Burglary,Sunset/Parkside,1,-122.48985330976524,37.761134038275884
2018-03-01,Burglary,Sunset/Parkside,1,-122.49199747412644,37.76103951292572
2018-03-01,Burglary,Sunset/Parkside,1,-122.49868774414062,37.764495849609375
2018-03-01,Burglary,Sunset/Parkside,1,-122.50806756135735,37.76032981540315
2018-03-01,Burglary,Sunset/Parkside,1,-122.50780487060547,37.75659942626953
2018-03-01,Burglary,Sunset/Parkside,1,-122.50780484561075,37.75659875521949
2018-03-01,Burglary,Sunset/Parkside,1,-122.50634765625,37.75105285644531
2018-03-01,Burglary,Tenderloin,1,-122.41349029541016,37.779991149902344
2018-03-01,Burglary,Tenderloin,1,-122.41169738769531,37.78117752075195
2018-03-01,Burglary,Tenderloin,2,-122.4131480505296,37.780993781477434
2018-03-01,Burglary,Tenderloin,1,-122.41822814941406,37.77848815917969
2018-03-01,Burglary,Tenderloin,1,-122.41969356688878,37.7772998550869
2018-03-01,Burglary,Tenderloin,1,-122.41949462890625,37.77589416503906
2018-03-01,Burglary,Tenderloin,1,-122.40803527832031,37.78641128540039
2018-03-01,Burglary,Tenderloin,2,-122.40803623744476,37.78640961281089
2018-03-01,Burglary,Tenderloin,2,-122.40866708530758,37.7853882479001
2018-03-01,Burglary,Tenderloin,1,-122.41214750780264,37.78589292711297
2018-03-01,Burglary,Tenderloin,1,-122.41790008544922,37.7851676940918
2018-03-01,Burglary,Tenderloin,1,-122.41790141130261,37.785167213738916
2018-03-01,Burglary,Tenderloin,1,-122.41645050048828,37.786312103271484
2018-03-01,Burglary,Tenderloin,2,-122.41481018066406,37.78651809692383
2018-03-01,Burglary,Tenderloin,1,-122.41424157409635,37.78372378203807
2018-03-01,Burglary,Tenderloin,1,-122.41954785498713,37.784960258586636
2018-03-01,Burglary,Tenderloin,1,-122.4189932746152,37.782169269140326
2018-03-01,Burglary,Tenderloin,1,-122.41714561338313,37.78144749392477
2018-03-01,Burglary,Tenderloin,1,-122.4124117474483,37.783004077643476
2018-03-01,Burglary,Treasure Island,1,-122.37560272216797,37.82966232299805
2018-03-01,Burglary,Treasure Island,1,-122.37559311370266,37.82452429749066
