,,,,,,,,,,,,,,"Summary Statistics for Administrative and support service activities Establishments by Region and Industry Group: Philippines, 2021 by Region, Industry description, Year and Data Items"
Region,Industry description,2021 Number  of  Establishments,2021 Total Employment as of 15 November,2021 Paid Employees as of 15 November,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors as of 15 November,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions To Tangible Fixed Assets,2021 Change  in Inventories,2021 Sales from E-Commerce,2021 Subsidies
..Cagayan Valley,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..Cagayan Valley,..Activities of employment placement agencies,12,154,154,-,16252,15024,11786,3239,13376,30,2,-,-
..Cagayan Valley,..Temporary employment agency activities,3,5,5,-,866,820,424,396,526,-,-,57,-
..Cagayan Valley,..Other human resources provision,,,,,,,,,,,,,
..Cagayan Valley,..Travel agency and tour operator activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Other reservation service and related activities,,,,,,,,,,,,,
..Cagayan Valley,..Private security activities,6,2385,2381,-,241208,213309,201468,11841,233798,7658,146,-,-
..Cagayan Valley,..Security systems service activities,,,,,,,,,,,,,
..Cagayan Valley,..Investigation activities,,,,,,,,,,,,,
..Cagayan Valley,..Combined facilities support activities,,,,,,,,,,,,,
..Cagayan Valley,..Cleaning activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Cagayan Valley,..Office administrative and support activities,3,92,92,0,69000,63006,57315,5691,63963,125,524,-,-
..Cagayan Valley,..Call centers and other related activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Cagayan Valley,"..Business support service activities, n.e.c.",,,,,,,,,,,,,
..Central Luzon,Administrative and support service activities,340,68658,68546,1637,43617913,34352831,19058814,15294018,31489469,2463282,106766,4638565,50096
..Central Luzon,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Central Luzon,..Renting and leasing of personal and household goods,7,15,15,-,12458,11008,2819,8190,4820,-,725,-,-
..Central Luzon,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",9,145,145,-,448241,416175,16067,400108,128719,-,59920,-,-
..Central Luzon,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..Central Luzon,..Activities of employment placement agencies,58,3277,3277,-,566366,539515,378593,160923,413810,38984,180,-,-
..Central Luzon,..Temporary employment agency activities,35,15804,15717,-,7099265,6772834,3133188,3639646,3542912,16261,611,-,-
..Central Luzon,..Other human resources provision,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Travel agency and tour operator activities,18,36,36,-,10671,11146,4147,7000,4679,3150,-,-,-
..Central Luzon,..Other reservation service and related activities,4,51,48,32,10610,10796,5422,5375,5608,108,27,295,70
..Central Luzon,..Private security activities,45,5259,5259,795,674799,627364,546455,80909,607373,25423,1558,-,-
..Central Luzon,..Security systems service activities,,,,,,,,,,,,,
..Central Luzon,..Investigation activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,..Combined facilities support activities,18,3218,3218,-,327581,314979,260239,54740,285876,9883,4925,-,-
..Central Luzon,..Cleaning activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,..Landscape care and maintenance service activities,4,186,183,-,70308,67870,12817,55053,19679,32907,101,-,-
..Central Luzon,..Office administrative and support activities,24,1745,1743,-,2147913,1382240,1212204,170036,2012400,53171,3544,-,-
..Central Luzon,..Call centers and other related activities,79,38219,38201,796,31347937,23453806,13242449,10211358,24015689,2264883,21744,4638270,-
..Central Luzon,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Central Luzon,"..Business support service activities, n.e.c.",35,480,480,14,721747,577734,88671,489063,277815,18331,14934,-,50026
..CALABARZON,Administrative and support service activities,488,93456,93379,4256,29162563,26678969,15715609,10963360,19723541,522799,104856,722993,-
..CALABARZON,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..CALABARZON,..Renting and leasing of personal and household goods,9,44,31,-,11500,9757,1633,8125,4204,-,8,-,-
..CALABARZON,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",10,749,749,4,1475984,1401735,227600,1174134,693297,-,2393,-,-
..CALABARZON,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..CALABARZON,..Activities of employment placement agencies,82,2619,2619,-,1117638,1023825,385401,638424,514208,110510,135,-,-
..CALABARZON,..Temporary employment agency activities,66,38909,38908,-,10479194,9780879,5723047,4057832,6602317,9574,140,-,-
..CALABARZON,..Other human resources provision,10,240,240,-,192876,179318,166869,12449,182239,194,-,-,-
..CALABARZON,..Travel agency and tour operator activities,8,219,219,-,33113,32257,27554,4703,28863,-,-,93,-
..CALABARZON,..Other reservation service and related activities,6,34,34,-,9332,7557,4195,3363,6831,3,18,-,-
..CALABARZON,..Private security activities,81,13280,13280,3083,1933181,1841914,1411088,430826,1549738,15905,167,-,-
..CALABARZON,..Security systems service activities,3,45,45,679,25450,25432,5826,19606,6502,24,-,-,-
..CALABARZON,..Investigation activities,,,,,,,,,,,,,
..CALABARZON,..Combined facilities support activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Cleaning activities,25,10522,10521,309,2050742,1916983,1455398,461585,1757393,2336,111691,-,-
..CALABARZON,..Landscape care and maintenance service activities,4,305,302,20,49677,57770,36716,21055,29531,-,-,-,-
..CALABARZON,..Office administrative and support activities,45,300,300,-,191400,178434,150205,28229,168879,170,350,-,-
..CALABARZON,..Call centers and other related activities,63,24583,24582,133,10864247,9601067,5821896,3779171,7750882,352272,4798,722900,-
..CALABARZON,..Organization of conventions and trade shows,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,"..Business support service activities, n.e.c.",73,1579,1521,-,695177,586274,292693,293581,418023,31812,91,-,-
..MIMAROPA Region,Administrative and support service activities,50,3588,3556,-,1741047,1658333,1188576,469758,1432829,215579,2569,-,-
..MIMAROPA Region,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..MIMAROPA Region,..Renting and leasing of personal and household goods,3,5,2,-,360,249,79,170,210,-,23,-,-
..MIMAROPA Region,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",5,91,80,-,16273,13589,10122,3467,13236,10971,169,-,-
..MIMAROPA Region,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..MIMAROPA Region,..Activities of employment placement agencies,5,64,64,-,7758,7249,5266,1983,5871,-,12,-,-
..MIMAROPA Region,..Temporary employment agency activities,8,788,788,-,140424,129442,109223,20219,122118,-,332,-,-
..MIMAROPA Region,..Other human resources provision,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Travel agency and tour operator activities,,,,,,,,,,,,,
..MIMAROPA Region,..Other reservation service and related activities,4,29,16,-,3850,3445,1643,1802,2995,-,6,-,-
..MIMAROPA Region,..Private security activities,4,89,89,-,22350,21056,17036,4020,19310,-,343,-,-
..MIMAROPA Region,..Security systems service activities,,,,,,,,,,,,,
..MIMAROPA Region,..Investigation activities,,,,,,,,,,,,,
..MIMAROPA Region,..Combined facilities support activities,,,,,,,,,,,,,
..MIMAROPA Region,..Cleaning activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Landscape care and maintenance service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Office administrative and support activities,11,39,34,-,10666,9508,3255,6254,4934,0,1492,-,-
..MIMAROPA Region,..Call centers and other related activities,5,2412,2412,-,1500203,1431370,1029650,401720,1249206,203307,239,-,-
..MIMAROPA Region,..Organization of conventions and trade shows,,,,,,,,,,,,,
..MIMAROPA Region,"..Business support service activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,Administrative and support service activities,116,15742,15692,318,5783956,4870450,3109059,1761392,4256501,237749,7077,1518176,-
..Bicol Region,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Bicol Region,..Renting and leasing of personal and household goods,13,33,20,-,4322,3668,911,2758,2320,-,28,-,-
..Bicol Region,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..Bicol Region,..Activities of employment placement agencies,10,368,367,-,59873,51069,46728,4341,56128,1798,3,-,-
..Bicol Region,..Temporary employment agency activities,9,1117,1115,-,50165,71849,48223,23626,28238,63,2,-,-
..Bicol Region,..Other human resources provision,,,,,,,,,,,,,
..Bicol Region,..Travel agency and tour operator activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Other reservation service and related activities,7,33,33,-,5266,4757,2854,1903,4497,-,-,-,-
..Bicol Region,..Private security activities,13,2675,2675,222,262340,234765,178824,55940,212566,11382,115,-,-
..Bicol Region,..Security systems service activities,,,,,,,,,,,,,
..Bicol Region,..Investigation activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Combined facilities support activities,,,,,,,,,,,,,
..Bicol Region,..Cleaning activities,3,19,19,-,6679,6278,3427,2851,3953,0,404,-,-
..Bicol Region,..Landscape care and maintenance service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Office administrative and support activities,15,99,99,-,63518,47510,35437,12072,55765,29400,1972,-,-
..Bicol Region,..Call centers and other related activities,24,11000,11000,46,5245768,4383296,2757959,1625336,3834080,186646,19,1518176,-
..Bicol Region,..Organization of conventions and trade shows,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,"..Business support service activities, n.e.c.",15,140,110,-,58021,46954,26262,20692,41524,8460,3,-,-
..Western Visayas,Administrative and support service activities,344,56295,56286,778,31409556,24215708,12400643,11815066,21708000,268584,29079,1199936,47118
..Western Visayas,..Renting and leasing of motor vehicles,6,25,25,-,16311,9673,5017,4656,12334,-,-,-,-
..Western Visayas,..Renting and leasing of personal and household goods,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",3,40,40,5,18106,11225,4191,7033,13964,-,-,-,-
..Western Visayas,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..Western Visayas,..Activities of employment placement agencies,89,1776,1776,-,647263,594267,329352,264916,417324,-,-,-,-
..Western Visayas,..Temporary employment agency activities,33,5287,5283,-,1020158,919284,682999,236285,802058,28059,-,-,-
